PersonID,Skills
147ce185-7859-4e98-89e7-3bfd1323bf3b,"['JavaScript', 'Python']"
d0099f38-dfde-443f-bf71-dc8c0659914c,"['Python', 'HTML', 'C++']"
416bb8ae-1957-419f-852f-e3fd83d3d5ec,"['HTML', 'Data Science']"
86602374-0663-4968-9de6-97bac2ae425a,"['R', 'Python', 'HTML', 'JavaScript']"
c1cd4738-9ae3-422f-a626-e70a77e3d4a4,['C++']
5916fe03-3495-428c-a396-82e35b1b4f75,"['Java', 'HTML', 'JavaScript']"
aa74002c-e22c-463c-b548-ce94cacdca53,"['JavaScript', 'C++']"
5923b53c-43e5-458a-b069-69e7418a2f41,"['Data Science', 'C++', 'Python', 'SQL']"
b8de4916-2a02-49ce-b5ff-d38496fc4622,"['R', 'HTML', 'CSS', 'Python', 'Machine Learning']"
005f8ec8-a973-43e1-a8db-ff253e43d8d8,"['C++', 'JavaScript', 'Java', 'HTML', 'Machine Learning']"
b9ceadbb-b94a-46ba-8906-fb2ce4b05b72,"['Machine Learning', 'HTML']"
b885aea6-3222-4359-b1de-aff87016faa2,"['JavaScript', 'Data Science', 'Java', 'C++']"
e70acc2e-c6b7-43d3-93be-9be42d7314d2,"['C++', 'CSS', 'Python', 'Machine Learning', 'SQL']"
a0ca0eed-d78a-488c-a7f0-1ef900a0af4f,"['C++', 'JavaScript']"
7a516f5f-2e88-41b5-8440-d0d4b23fe473,"['Java', 'HTML', 'Python', 'CSS']"
61d1e22c-c9cd-4585-8c98-ebfa70be6831,"['CSS', 'Data Science', 'R', 'Java']"
765ba6de-2081-44a7-885d-dd4e2c892b99,"['SQL', 'R', 'Data Science', 'JavaScript', 'Java']"
547b8f1c-ea7c-47e1-a8c6-1d580bd5629f,"['SQL', 'Data Science', 'Machine Learning', 'CSS']"
f6ae9caa-af0f-412b-a0ed-e83e67d90300,"['Data Science', 'C++', 'R']"
46ca216d-4669-4e45-96db-07dd4ec11471,"['Python', 'R']"
49bfb901-0faa-4899-8b8d-389461fc586a,"['R', 'HTML']"
fe410089-f352-46f6-bb97-02b74a9b29a1,"['Python', 'C++']"
973568f5-2aef-4aa9-a375-ecd663d7a7c7,['JavaScript']
03605a31-eaaa-4dd2-a9bb-44f4e89c1c9a,"['SQL', 'R']"
8d2f638c-4ec0-4ed1-8683-43f382086a16,"['CSS', 'SQL']"
50516775-427a-4c6a-8b17-fbf8ad0ef424,"['HTML', 'CSS', 'C++', 'Java', 'JavaScript']"
5ed45ad0-283d-4900-b718-d7878a47e673,"['C++', 'Java', 'R', 'HTML']"
a593264e-fb52-412f-9532-8307dec235e0,"['Data Science', 'R', 'Machine Learning']"
29082039-762c-4591-8eee-3389b460b795,"['R', 'HTML']"
298347d8-3060-49de-a5fe-7568f6441728,['JavaScript']
e72aed54-df91-4808-8368-ee44767a6694,['SQL']
6a1e0189-83e1-4761-8101-8a855bcf3510,['Python']
69baee35-cd48-44ff-be0a-71313051a90b,"['CSS', 'Data Science', 'SQL', 'Machine Learning', 'Java']"
6c5f6abf-c77b-462b-bf66-0ce57dbcd4b4,"['HTML', 'Data Science', 'Java', 'R', 'Python']"
acf01d58-df26-4860-9f5d-9927bf596513,"['Machine Learning', 'CSS']"
1599c219-12cc-4384-ab8b-cff48f82f4fe,"['CSS', 'C++', 'SQL']"
a88d0cbf-c9fe-4b56-9850-154d5752e20b,['Java']
ec7ce196-8cb7-401a-bafc-73c22ebca713,"['R', 'JavaScript', 'Java']"
c107c66c-b519-4c16-a934-4715e3e39d9f,['R']
b4a945b9-6efd-4151-b117-4e63e1e5378f,"['SQL', 'HTML']"
5d50ccb2-fd23-41f7-8e22-93be2d798737,['Java']
ca0d6751-d239-46ea-90b9-d6d3b75c798b,['Machine Learning']
